"Date","WDay","Article ID","Portal","Section","Article URL","Mod Time","Printed"
"2022-02-28","Mon","ax-2073269","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2073269","2022-02-28T09:39:05.602Z","1"
"2021-12-14","Tue","ax-2151435","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2151435","2021-12-14T11:44:49.525Z","0"
"2021-12-09","Thu","ax-2185972","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2185972","2021-12-09T07:11:10.134Z","1"
"2022-03-15","Tue","ax-2187270","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2187270","2022-03-15T11:04:00.388Z","0"
"2021-12-16","Thu","ax-2194190","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2194190","2021-12-16T09:03:51.488Z","0"
"2021-12-20","Mon","ax-2230099","XCvhz5","people","XCvhz5/sections/people/?article-id=2230099","2021-12-20T16:26:11.546Z","0"
"2021-12-20","Mon","ax-2230129","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2230129","2021-12-20T17:16:00.493Z","1"
"2021-12-21","Tue","ax-2230180","yawomZ","business","yawomZ/sections/business/?article-id=2230180","2021-12-21T05:29:34.213Z","1"
"2021-12-21","Tue","ax-2230186","XCvhz5","people","XCvhz5/sections/people/?article-id=2230186","2021-12-21T09:49:04.821Z","1"
"2021-12-21","Tue","ax-2230190","yawomZ","business","yawomZ/sections/business/?article-id=2230190","2021-12-21T07:17:12.022Z","1"
"2021-12-21","Tue","ax-2230191","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2230191","2021-12-21T09:24:52.159Z","0"
"2021-12-21","Tue","ax-2230193","yawomZ","business","yawomZ/sections/business/?article-id=2230193","2021-12-21T07:42:16.151Z","1"
"2021-12-21","Tue","ax-2230200","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2230200","2021-12-21T09:00:47.863Z","0"
"2021-12-21","Tue","ax-2230208","yawomZ","business","yawomZ/sections/business/?article-id=2230208","2021-12-21T08:42:37.298Z","1"
"2021-12-21","Tue","ax-2230224","XCvhz5","sports","XCvhz5/sections/sports/?article-id=2230224","2021-12-21T13:38:59.556Z","1"
"2021-12-21","Tue","ax-2230235","yawomZ","business","yawomZ/sections/business/?article-id=2230235","2021-12-21T09:22:31.656Z","0"
"2021-12-21","Tue","ax-2230259","wiJddb","lifestyle","wiJddb/sections/lifestyle/?article-id=2230259","2021-12-21T10:06:50.467Z","0"
"2021-12-21","Tue","ax-2230277","XCvhz5","people","XCvhz5/sections/people/?article-id=2230277","2021-12-21T10:05:19.652Z","1"
"2021-12-21","Tue","ax-2230302","XCvhz5","people","XCvhz5/sections/people/?article-id=2230302","2021-12-21T10:42:40.357Z","0"
