Monat,Month Text,Unique Users,Visits,Pageviews,Pageviews/Visit,Avg. Time on Page,Avg. Session Duration,Avg. Read Time,Use Time,Field Type
MAR,,,,,,,,,,
März 2023,March 2023,3702,5125,20163,3.934145103,36.87325184,125.6499824,00:24,01:21,Straight Val
März 2022,March 2022,2434,2683,18860,7.029821296,29.27097069,111.7056298,00:25,02:02,Straight Val
Veränderung,Total,52.1%,91.0%,6.9%,-44.0%,26.0%,12.5%,26.0%,12%,Delta
,,,,,,,,,,
März 2023,desktop,1743,3184,13589,4.268153809,34.90984321,228.1476029,00:25,02:04,Straight Val
März 2023,mobile,1842,1862,6380,3.426123478,40.56446921,41.80530719,00:21,00:41,Straight Val
März 2023,tablet,118,79,194,2.448973668,49.07711493,55.63822631,00:26,00:35,Straight Val
,,,,,,,,,,
März 2022,desktop,1613,1911,14441,7.558180209,70.19272524,486.9758888,00:26,02:13,Straight Val
März 2022,mobile,784,729,4107,5.636223343,45.82522531,77.22852978,00:20,01:26,Straight Val
März 2022,tablet,37,44,312,7.165888544,32.50923465,271.6185404,00:29,02:48,Straight Val
,,,,,,,,,,
Veränderung,desktop,8.1%,66.6%,-5.9%,-43.5%,-50.3%,-53.2%,-3.8%,-6.8%,Delta
Veränderung,mobile,134.8%,155.6%,55.4%,-39.2%,-11.5%,-45.9%,5.0%,-52.3%,Delta
Veränderung,tablet,214.3%,81.3%,-38.0%,-65.8%,51.0%,-79.5%,-10.3%,-79.2%,Delta
FEB,,,,,,,,,,
Februar 2023,February 2023,3367,5337,22919,4.294052579,0,0,00:22,01:15,Straight Val
Februar 2022,February 2022,3052,4556,30090,6.604942723,24.04052997,140.6051858,00:25,02:10,Straight Val
Veränderung,Total,10.32%,17.16%,-23.83%,-34.99%,-100.00%,-100.00%,-100.00%,-100.00%,Delta
,,,,,,,,,,
Februar 2023,desktop,1566,3419,16017,4.685299417,43.64198676,178.1423885,00:23,01:47,Straight Val
Februar 2023,mobile,1722,1787,6520,3.649417767,35.708882,54.79040539,00:20,00:40,Straight Val
Februar 2023,tablet,79,132,382,2.888274065,65.72124828,107.3549237,00:41,01:31,Straight Val
,,,,,,,,,,
Februar 2022,desktop,2452,3756,23341,6.214370541,23.17939091,78.2102727,00:25,02:10,Straight Val
Februar 2022,mobile,575,755,6360,8.421195343,31.85433504,111.2065229,00:24,02:01,Straight Val
Februar 2022,tablet,24,44,389,8.74744652,36.14212567,213.1089293,00:51,06:23,Straight Val
,,,,,,,,,,
Veränderung,desktop,-25.06%,-25.80%,-32.29%,-8.75%,-7.56%,-17.24%,-7.56%,-17.24%,Delta
Veränderung,mobile,253.21%,148.43%,23.74%,-50.19%,-16.59%,-66.87%,-16.59%,-66.87%,Delta
Veränderung,tablet,200.00%,192.86%,12.29%,-61.66%,-20.36%,-76.10%,-20.36%,-76.10%,Delta
JAN,,,,,,,,,,
Januar 2023,January 2023,4239,5034,16801,3.337674898,21.03220238,77.4014582,00:23,01:24,Straight Val
Januar 2022,January 2022,6376,7157,21030,2.938235543,41.52318488,103.9417691,00:21,01:08,Straight Val
Veränderung,Total,-33.52%,-29.67%,-20.11%,13.59%,-49.35%,-25.53%,-49.35%,-25.53%,Delta
,,,,,,,,,,
Januar 2023,desktop,2269,2713,10954,4.037580758,24.27536151,232.3273323,00:23,02:00,Straight Val
Januar 2023,mobile,1843,2184,5316,2.43400587,38.32343209,54.72512107,00:23,00:48,Straight Val
Januar 2023,tablet,127,137,531,3.885261306,27.62715639,60.07018331,00:16,00:42,Straight Val
,,,,,,,,,,
Januar 2022,desktop,5831,6534,17834,2.729393759,53.74600055,370.0262513,00:21,01:04,Straight Val
Januar 2022,mobile,513,581,2756,4.743376988,37.2463123,388.0633598,00:19,01:26,Straight Val
Januar 2022,tablet,32,43,441,10.36366822,33.35148488,174.9313017,00:31,04:35,Straight Val
,,,,,,,,,,
Veränderung,desktop,-65.60%,-59.03%,-37.16%,53.38%,9.19%,86.64%,9.19%,86.64%,Delta
Veränderung,mobile,337.89%,250.24%,98.66%,-43.28%,19.57%,-43.84%,19.57%,-43.84%,Delta
Veränderung,tablet,212.50%,144.44%,-10.09%,-63.22%,-47.27%,-84.47%,-47.27%,-84.47%,Delta
